sku_code,product_name,product_id_shopee,product_id_lazada,product_id_tiktok,shop_sku,,,
VB-4750020001-BLS0012,Goodest Dog Grilled Chicken and Liver Pack of 24 Wet Dog Food Pouch (130g),21193752561,4128458593,1729737025118374787,3981360807_PH-21478135596,,,
VB-4750020007-BBV0012,Goodest Dog Multivariant Bundle Pack of 24 Wet Dog Food Pouch (130g),19585361118,4149954081,1729751374841023363,3981368752_PH-21479432166,,,
GOODDOGMVB2-12,Goodest Dog Grilled Chicken and Liver (130g),19585361099,4149943164,1729751372225940355,3981398699_PH-21477162523,,,
VB-4750020004-GCL0024,Goodest Dog Beef and Liver Steak Pack of 24 Wet Dog Food Pouch (130g),19585361098,4149893441,1729751372624399235,3981406627_PH-21478049930,,,
VB-4750020001-BLS0024,Goodest Dog Beef and Liver Steak Pack of 12 Wet Dog Food Pouch (130g),19593760735,4128508206,1729737026141784963,3981424524_PH-21477476598,,,
VB-4750020007-BBV0024,Goodest Dog Braised Beef with Veggies Pack of 24 Wet Dog Food Pouch (130g),22858202022,4149946152,1729751371491019651,3981429460_PH-21478153946,,,
GOODDOGMVB2-24,Goodest Dog Multivariant Bundle Pack of 12 Wet Dog Food Pouch (130g),22858201996,4149806966,1729751373267700611,3981442393_PH-21478397688,,,
VB-4750020003-BLS002,Goodest Dog Braised Beef with Veggies Pack of 12 Wet Dog Food Pouch (130g),22061375088,4236361755,1729813766982044547,3981457265_PH-21477712463,,,
VB-4750020006-GCL002,Goodest Dog Multivariant Bundle Pack of 6 Wet Dog Food Pouch (130g),25351617343,4236450424,1729813773305547651,3981486093_PH-21478337637,,,
VB-4750020003-BLS004,Goodest Dog Beef and Liver Steak Pack of 6 Wet Dog Food Pouch (130g),22061375086,4236491196,1729813767999753091,3981496046_PH-21477120095,,,
VB-4750020006-GCL004,Goodest Cat Tender Tuna (400g),22061375095,4236421492,1729812800870648707,3996698790_PH-21564751079,,,
VB-4750020003-BLS006,Goodest Cat Tender Tuna x4 (400g),25351617339,4236452408,1729812804598401923,3996813574_PH-21564760133,,,
VB-4750020006-GCL006,Goodest Cat Tender Tuna x6 (400g),25351617345,4236484229,1729812801065356163,3996894316_PH-21564690203,,,
VB-4750010005-TT002,Goodest Cat Tender Tuna x2 (400g),19490928614,3996907303,1729684269960366979,3996907303_PH-21564456414,,,
VB-4750010005-TT004,Goodest Dog Beef & Liver Steak 80G,18081994706,3996813574,1729684263677692803,4126213458_PH-22936231087,,,
VB-4750010005-TT006,Goodest Dog Beef & Liver Steak 80G Pack Of 12,23874094275,3996894316,1729684257558268803,4128458593_PH-22936276088,,,
